,dataset,features version,pipeline,pca_n_componenets,name,adjusted_r2,r2,mae,mape,time,params
2,ShorterThan1.2Kms,split inputs and args,single step,,MLPRegressor(random_state=5),0.73605668,0.73697767,83.97422762,37.76448989,0.197664,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,ShorterThan1.2Kms,split inputs and args,single step,1,KNeighborsRegressor(),0.41206591,0.41209974,143.38921501,72.92834372,0.06162780000886414,"{'n_neighbors': 25, 'weights': 'uniform'}"
1,ShorterThan1.2Kms,split inputs and args,single step,1,DecisionTreeRegressor(random_state=5),0.43303011,0.43306274,141.40964561,72.20429231,0.0011283000058028847,"{'criterion': 'mse', 'max_depth': 5}"
2,ShorterThan1.2Kms,split inputs and args,single step,1,MLPRegressor(random_state=5),0.41848943,0.4185229,142.45680956,72.33724491,0.1556068000063533,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
3,ShorterThan1.2Kms,split inputs and args,single step,2,KNeighborsRegressor(),0.53671776,0.53678675,113.1075409,54.92906021,0.20827509999799076,"{'n_neighbors': 25, 'weights': 'uniform'}"
4,ShorterThan1.2Kms,split inputs and args,single step,2,DecisionTreeRegressor(random_state=5),0.53288931,0.53295875,113.2165356,55.29881794,0.0016297999973176047,"{'criterion': 'mse', 'max_depth': 10}"
5,ShorterThan1.2Kms,split inputs and args,single step,2,MLPRegressor(random_state=5),0.52678997,0.52686011,114.8735276,56.74081904,0.21405279998725746,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
6,ShorterThan1.2Kms,split inputs and args,single step,3,KNeighborsRegressor(),0.65248391,0.65256742,96.40216952,42.89909837,0.2517431000014767,"{'n_neighbors': 25, 'weights': 'distance'}"
7,ShorterThan1.2Kms,split inputs and args,single step,3,DecisionTreeRegressor(random_state=5),0.58262554,0.58272111,105.835564,49.25984307,0.0017854000034276396,"{'criterion': 'mse', 'max_depth': 10}"
8,ShorterThan1.2Kms,split inputs and args,single step,3,MLPRegressor(random_state=5),0.58465995,0.58475517,106.956211,51.26927791,0.17268220000551082,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
9,ShorterThan1.2Kms,split inputs and args,single step,4,KNeighborsRegressor(),0.6358732,0.63598837,98.51155477,44.64233536,0.3132442999922205,"{'n_neighbors': 25, 'weights': 'distance'}"
10,ShorterThan1.2Kms,split inputs and args,single step,4,DecisionTreeRegressor(random_state=5),0.61994754,0.62006637,100.7297978,46.41398477,0.0018463000014889985,"{'criterion': 'mse', 'max_depth': 10}"
11,ShorterThan1.2Kms,split inputs and args,single step,4,MLPRegressor(random_state=5),0.62187281,0.6219912,98.93132523,43.32288089,0.14559030000236817,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
12,ShorterThan1.2Kms,split inputs and args,single step,5,KNeighborsRegressor(),0.6392359,0.63937888,98.12387171,44.32686707,0.30855760000122245,"{'n_neighbors': 25, 'weights': 'distance'}"
13,ShorterThan1.2Kms,split inputs and args,single step,5,DecisionTreeRegressor(random_state=5),0.61720893,0.61735826,101.0098333,46.42103326,0.0017820000066421926,"{'criterion': 'mse', 'max_depth': 10}"
14,ShorterThan1.2Kms,split inputs and args,single step,5,MLPRegressor(random_state=5),0.6084195,0.60857135,101.1544427,44.51020803,0.11647290000109933,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
15,ShorterThan1.2Kms,split inputs and args,single step,6,KNeighborsRegressor(),0.69355322,0.69370604,89.90706483,38.8823259,0.3730014000029769,"{'n_neighbors': 25, 'weights': 'distance'}"
16,ShorterThan1.2Kms,split inputs and args,single step,6,DecisionTreeRegressor(random_state=5),0.66068503,0.6608492,94.68379016,42.21502585,0.0016778999997768551,"{'criterion': 'mse', 'max_depth': 10}"
17,ShorterThan1.2Kms,split inputs and args,single step,6,MLPRegressor(random_state=5),0.65631464,0.65648032,98.87548453,45.27299305,0.09222609999414999,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
18,ShorterThan1.2Kms,split inputs and args,single step,7,KNeighborsRegressor(),0.69473359,0.69491141,89.7479233,38.80058094,0.5001983000111068,"{'n_neighbors': 25, 'weights': 'distance'}"
19,ShorterThan1.2Kms,split inputs and args,single step,7,DecisionTreeRegressor(random_state=5),0.67076892,0.67095639,92.53039842,40.54085928,0.00183199999446515,"{'criterion': 'mse', 'max_depth': 10}"
20,ShorterThan1.2Kms,split inputs and args,single step,7,MLPRegressor(random_state=5),0.65770315,0.65789589,96.48996164,42.73722187,0.11966929999471176,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
21,ShorterThan1.2Kms,split inputs and args,single step,8,KNeighborsRegressor(),0.7156582,0.71585179,86.69858464,37.16647304,0.5851860999973724,"{'n_neighbors': 25, 'weights': 'distance'}"
22,ShorterThan1.2Kms,split inputs and args,single step,8,DecisionTreeRegressor(random_state=5),0.68169551,0.68190474,90.82643001,39.95314272,0.0018266999977640808,"{'criterion': 'mse', 'max_depth': 10}"
